NR.,CODICE UNIONE,REGIONE,PROVINCIA,DESCRIZIONE UNIONE DI COMUNI,DATA COSTITUZIONE,NR. COMUNI,COMUNI,POP. UOMINI,POP. DONNE,POP. TOTALE
1,4130236090,ABRUZZO,CHIETI,UNIONE DEI COMUNI DELLA VALLATA DEL FORO,30-Lug-2021,4,ARI,581,584,1165
2,4130236090,ABRUZZO,CHIETI,UNIONE DEI COMUNI DELLA VALLATA DEL FORO,30-Lug-2021,4,RIPA TEATINA,2128,2060,4188
3,4130236090,ABRUZZO,CHIETI,UNIONE DEI COMUNI DELLA VALLATA DEL FORO,30-Lug-2021,4,VACRI,835,867,1702
4,4130236090,ABRUZZO,CHIETI,UNIONE DEI COMUNI DELLA VALLATA DEL FORO,30-Lug-2021,4,VILLAMAGNA,1218,1219,2437
1,4130236080,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO,7-Nov-2014,6,CIVITELLA MESSER RAIMONDO,421,440,861
2,4130236080,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO,7-Nov-2014,6,COLLEDIMACINE,120,117,237
3,4130236080,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO,7-Nov-2014,6,LAMA DEI PELIGNI,646,718,1364
4,4130236080,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO,7-Nov-2014,6,LETTOPALENA,192,173,365
5,4130236080,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO,7-Nov-2014,6,PALENA,689,723,1412
6,4130236080,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO,7-Nov-2014,6,TARANTA PELIGNA,197,202,399
1,4130236060,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA-ALTA VAL DI FORO,12-Feb-2013,4,FARA FILIORUM PETRI,929,1026,1955
2,4130236060,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA-ALTA VAL DI FORO,12-Feb-2013,4,PRETORO,477,512,989
3,4130236060,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA-ALTA VAL DI FORO,12-Feb-2013,4,RAPINO,660,696,1356
4,4130236060,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA-ALTA VAL DI FORO,12-Feb-2013,4,ROCCAMONTEPIANO,894,898,1792
1,4130236050,ABRUZZO,CHIETI,UNIONE DEI MIRACOLI,29-Dic-2011,4,CASALBORDINO,2994,3309,6303
2,4130236050,ABRUZZO,CHIETI,UNIONE DEI MIRACOLI,29-Dic-2011,4,POLLUTRI,1105,1201,2306
3,4130236050,ABRUZZO,CHIETI,UNIONE DEI MIRACOLI,29-Dic-2011,4,SCERNI,1661,1738,3399
4,4130236050,ABRUZZO,CHIETI,UNIONE DEI MIRACOLI,29-Dic-2011,4,VILLALFONSINA,463,514,977
1,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,CARPINETO SINELLO,334,332,666
2,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,CARUNCHIO,306,333,639
3,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,CASALANGUIDA,485,521,1006
4,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,DOGLIOLA,203,186,389
5,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,GUILMI,211,221,432
6,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,PALMOLI,479,501,980
7,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,SAN GIOVANNI LIPIONI,105,105,210
8,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,TORREBRUNA,438,486,924
9,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,TUFILLO,221,247,468
1,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,COLLEDIMEZZO,267,264,531
2,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,MONTEBELLO SUL SANGRO,40,59,99
3,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,MONTEFERRANTE,70,71,141
4,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,MONTELAPIANO,42,38,80
5,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,MONTENERODOMO,368,368,736
6,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,PIETRAFERRAZZANA,67,61,128
7,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,ROIO DEL SANGRO,45,58,103
8,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,ROSELLO,110,143,253
1,4130386020,ABRUZZO,L'AQUILA,TERRE DEI PELIGNI,25-Set-2015,5,CORFINIO,541,538,1079
2,4130386020,ABRUZZO,L'AQUILA,TERRE DEI PELIGNI,25-Set-2015,5,PREZZA,474,541,1015
3,4130386020,ABRUZZO,L'AQUILA,TERRE DEI PELIGNI,25-Set-2015,5,RAIANO,1346,1466,2812
4,4130386020,ABRUZZO,L'AQUILA,TERRE DEI PELIGNI,25-Set-2015,5,ROCCACASALE,363,361,724
5,4130386020,ABRUZZO,L'AQUILA,TERRE DEI PELIGNI,25-Set-2015,5,VITTORITO,411,487,898
1,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,AIELLI,696,762,1458
2,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,BALSORANO,1779,1876,3655
3,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,BISEGNA,120,141,261
4,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CANISTRO,486,537,1023
5,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CAPISTRELLO,2583,2758,5341
