NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
0;4130236090;ABRUZZO;CHIETI;UNIONE DEI COMUNI DELLA VALLATA DEL FORO;30-Lug-2021;4;;4762;4730;9492
1; ; ; ; ; ;;ARI;581;584;1165
2; ; ; ; ; ;;RIPA TEATINA;2128;2060;4188
3; ; ; ; ; ;;VACRI;835;867;1702
4; ; ; ; ; ;;VILLAMAGNA;1218;1219;2437
0;4130236080;ABRUZZO;CHIETI;UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO;7-Nov-2014;6;;2265;2373;4638
1; ; ; ; ; ;;CIVITELLA MESSER RAIMONDO;421;440;861
2; ; ; ; ; ;;COLLEDIMACINE;120;117;237
3; ; ; ; ; ;;LAMA DEI PELIGNI;646;718;1364
4; ; ; ; ; ;;LETTOPALENA;192;173;365
5; ; ; ; ; ;;PALENA;689;723;1412
6; ; ; ; ; ;;TARANTA PELIGNA;197;202;399
