nr,codice_unione,regione,provincia,descrizione_unione_di_comuni,data_costituzione,nr_comuni,comuni_appartenenti_allunione,pop_uomini,pop_donne,pop_totale
0,4130236090,ABRUZZO,CHIETI,UNIONE DEI COMUNI DELLA VALLATA DEL FORO,30-Lug-2021,4,,4762,4730,9492
1, , , , , ,,ARI,581,584,1165
2, , , , , ,,RIPA TEATINA,2128,2060,4188
3, , , , , ,,VACRI,835,867,1702
4, , , , , ,,VILLAMAGNA,1218,1219,2437
0,4130236080,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO,7-Nov-2014,6,,2265,2373,4638
1, , , , , ,,CIVITELLA MESSER RAIMONDO,421,440,861
2, , , , , ,,COLLEDIMACINE,120,117,237
3, , , , , ,,LAMA DEI PELIGNI,646,718,1364
4, , , , , ,,LETTOPALENA,192,173,365
5, , , , , ,,PALENA,689,723,1412
6, , , , , ,,TARANTA PELIGNA,197,202,399
0,4130236060,ABRUZZO,CHIETI,UNIONE DEI COMUNI MONTANI MAIELLA-ALTA VAL DI FORO,12-Feb-2013,4,,2960,3132,6092
1, , , , , ,,FARA FILIORUM PETRI,929,1026,1955
2, , , , , ,,PRETORO,477,512,989
3, , , , , ,,RAPINO,660,696,1356
4, , , , , ,,ROCCAMONTEPIANO,894,898,1792
0,4130236050,ABRUZZO,CHIETI,UNIONE DEI MIRACOLI,29-Dic-2011,4,,6223,6762,12985
1, , , , , ,,CASALBORDINO,2994,3309,6303
2, , , , , ,,POLLUTRI,1105,1201,2306
3, , , , , ,,SCERNI,1661,1738,3399
4, , , , , ,,VILLALFONSINA,463,514,977
0,4130236030,ABRUZZO,CHIETI,UNIONE DEL SINELLO,1-Gen-2004,9,,2782,2932,5714
1, , , , , ,,CARPINETO SINELLO,334,332,666
2, , , , , ,,CARUNCHIO,306,333,639
3, , , , , ,,CASALANGUIDA,485,521,1006
4, , , , , ,,DOGLIOLA,203,186,389
5, , , , , ,,GUILMI,211,221,432
6, , , , , ,,PALMOLI,479,501,980
7, , , , , ,,SAN GIOVANNI LIPIONI,105,105,210
8, , , , , ,,TORREBRUNA,438,486,924
9, , , , , ,,TUFILLO,221,247,468
0,4130236070,ABRUZZO,CHIETI,UNIONE MONTANA DEI COMUNI DEL SANGRO,1-Gen-2014,8,,1009,1062,2071
1, , , , , ,,COLLEDIMEZZO,267,264,531
2, , , , , ,,MONTEBELLO SUL SANGRO,40,59,99
3, , , , , ,,MONTEFERRANTE,70,71,141
4, , , , , ,,MONTELAPIANO,42,38,80
5, , , , , ,,MONTENERODOMO,368,368,736
6, , , , , ,,PIETRAFERRAZZANA,67,61,128
7, , , , , ,,ROIO DEL SANGRO,45,58,103
8, , , , , ,,ROSELLO,110,143,253
